,,,,,,,,
1,はくれいれいむ,,字,人,『東方Project』の主人公の1人。,1,,
,博麗霊夢,,,,博麗神社の巫女。,,,
2,きりさめまりさ,,字,人,『東方Project』の主人公の1人。,1,,
,霧雨魔理沙,,,,普通の魔法使い。,,,
3,ほんめいりん,,字,人,東方紅魔郷に登場するキャラクター。,2,,
,紅美鈴,,,,気を使う程度の能力。,,,
4,いざよいさくや,,字,人,東方紅魔郷に登場するキャラクター。,1,,
,十六夜咲夜,,,,時間を操る程度の能力。,,,
5,だいようせい,,字,,東方紅魔郷に登場する中ボス。,1,,
,大妖精,,,,妖精にしては大きいことから。,,,
6,こあくま,,字,,東方紅魔郷に登場する中ボス。,1,,
,小悪魔,,,,悪魔にしては小さいことから。,,,
7,よいやみ(のようかい),,字,,ルーミアの二つ名。,2,,
,宵闇(の妖怪),,,,,,,
8,(こじょうの)ひょうせい,,字,,チルノの二つ名。,1,,
,(湖上の)氷精,,,,,,,
9,(ちしきと)ひかげ(のしょうじょ),,字,,パチュリー・ノーレッジの二つ名。,1,,
,(知識と)日陰(の少女),,,,,,,
10,(えいえんに)あか(いおさなきつき),,字,,レミリア・スカーレットの二つ名。,1,,
,(永遠に)紅(い幼き月),,,,,,,
11,(あくまの)いもうと,,字,,フランドール・スカーレットの二つ名。,1,,
,(悪魔の)妹,,,,,,,
12,(れいふ「)むそうふういん(」),,字,,博麗霊夢のスペルカード。,1,,
,(霊符「)夢想封印(」),,,,,,,
13,(さいふ「きょくさい)たいふう(」),,字,,紅美鈴のスペルカード。,2,,
,(彩符「極彩)颱風(」),,,,,,,
14,(しんじゅつ「)きゅうけつきげんそう(」),,字,,レミリア・スカーレットの使用する,2,,
,(神術「)吸血鬼幻想(」),,,,スペルカード。,,,
15,きんき(「こいのめいろ」),,字,,フランドール・スカーレットの使用する,2,,
,禁忌(「恋の迷路」),,,,スペルカード。,,,
16,(げんふ「)かそうゆめかづら(」),,字,,紅美鈴のスペルカード。,4,,
,(幻符「)華想夢葛(」),,,,,,,
17,(あかふ「)ふやじょう(レッド」),,字,,レミリア・スカーレットの使用する,2,,
,(紅符「)不夜城(レッド」),,,,スペルカード。,,,
18,こうろう,,字,,東方紅魔郷のスタッフロールテーマ。,2,,
,紅楼,,,,正式名は【紅楼 ～ Eastern Dream…】,,,
19,(あかより)はかな(いえいえん),,字,,東方紅魔郷のエンディングテーマ。,2,,
,(紅より)儚(い永遠),,,,,,,
20,しゃんはい(こうちゃかん),,字,,東方紅魔郷の3面道中曲。,1,,
,上海(紅茶館),,,,正式名は【上海紅茶館 ～ Chinese Tea】,,,
21,(おてんば)こいむすめ,,字,,東方紅魔郷の2面ボス曲。,1,,
,(おてんば)恋娘,,,,,,,
22,(あかいつきに)しょうしゃ(なじゅうしゃを),,字,,東方紅魔郷、5面のステージ名。,2,,
,(紅い月に)瀟洒(な従者を),,,,,,,
23,こうまかん,,字,地,『東方Project』に登場する建物。,1,,
,紅魔館,,,,,,,
24,ふゆ(のわすれもの),,字,,寒気を操る程度の能力をもつ、,1,,
,冬(の忘れ物),,,,レティ・ホワイトロックの二つ名。,,,
25,(せんふ「)ほうおうてんし(」),,字,,橙のスペルカード。,3,,
,(仙符「)鳳凰展翅(」),,,,,,,
26,(おんみょう「)どうまんせいめい(」),,字,,橙のスペルカード。,2,,
,(陰陽「)道満晴明(」),,,,,,,
27,(しょうふ「)ひしょういだてん(」),,字,,橙のスペルカード。,2,,
,(翔符「)飛翔韋駄天(」),,,,,,,
28,(ほうふ「)きもんとんこう(」),,字,,橙のスペルカード。,3,,
,(方符「)奇門遁甲(」),,,,,,,
29,(「はくあいの)ふらんす(にんぎょう」),,字,,アリス・マーガトロイドのスペルカード。,2,,
,(「博愛の)仏蘭西(人形」),,,,正式名は【蒼符「博愛の仏蘭西人形」】,,,
30,(こうふ「)おらんだにんぎょう(」),,字,,アリス・マーガトロイドのスペルカード。,3,,
,(紅符「)和蘭人形(」),,,,,,,
31,(「はくあの)ろしあ(にんぎょう」),,字,,アリス・マーガトロイドのスペルカード。,2,,
,(「白亜の)露西亜(人形」),,,,正式名は【白符「白亜の露西亜人形」】,,,
32,(「きりの)ろんどん(にんぎょう」),,字,,アリス・マーガトロイドのスペルカード。,3,,
,(「霧の)倫敦(人形」),,,,,,,
33,(「りんねの)ちべっと(にんぎょう」),,字,,アリス・マーガトロイドのスペルカード。,4,,
,(「輪廻の)西蔵(人形」),,,,,,,
34,じゅそ(「ほうらいにんぎょう」),,字,,アリス・マーガトロイドのスペルカード、,3,,
,咒詛(「蓬莱人形」),,,,【咒詛「首吊り蓬莱人形」】の符名。,,,
35,(「)にひゃくゆじゅん(のいっせん」),,字,,魂魄妖夢のスペルカード。,4,,
,(「)二百由旬(の一閃」),,,,由旬は長さの単位。,,,
36,(しゅらけん「)げんせもうしゅう(」),,字,,魂魄妖夢のスペルカード。,2,,
,(修羅剣「)現世妄執(」),,,,,,,
37,(ひとがみけん「)ぞくたいじょうじゅう(」),,字,,魂魄妖夢のスペルカード。,3,,
,(人神剣「)俗諦常住(」),,,,,,,
38,(てんかいけん「)しちかいきき(」),6(○○○○○き),字,,魂魄妖夢のスペルカード。,3,,
,(天界剣「)七魄忌諱(」),,,,,,,
39,(ろくどうけん「)いちねんむりょうごう(」),,字,,魂魄妖夢のスペルカード。,2,,
,(六道剣「)一念無量劫(」),,,,,,,
40,(「)しょうじゃひつめつ(のことわり」),,字,,西行寺幽々子のスペルカード。,2,,
,(「)生者必滅(の理」),,,,,,,
41,どくりつふとう(のかみさま),,字,,八坂神奈子の二つ名。,3,,
,独立不撓(の神様),,,,,,,
42,(「)すいが(のごときうつくしきげんせん」),3,字,,八坂神奈子のスペルカード。,3,,
,(「)水眼(の如き美しき源泉」),,,,,,,
43,(しきがみ「)ひょういだきにてん(」),,字,,八雲藍のスペルカード。,3,,
,(式神「)憑依荼吉尼天(」),,,,,,,
44,(「)こりようかい(レーザー」),,字,,八雲藍のスペルカード。,2,,
