,,,,,,,,
1,あっ(する),,字,,「圧する」に同じ。,0,,
,壓(する),,,,,,,
2,かこ(う),,字,,「囲う」に同じ。,0,,
,圍(う),,,,,,,
3,ため(になる),,字,,「為になる」に同じ。,0,,
,爲(になる),,,,,,,
4,くすし,3,字,,「医」に同じ。,0,,
,醫,,,,,,,
5,ひと(つ),,字,,「一つ」に同じ。,0,,
,壹つ,,,,,,,
6,いね、いな、とう,,字,,「稲」に同じ。,0,,
,稻,,,,,,,
7,さ(める),,字,,「覚める」に同じ。,0,,
,覺(める),,,,,,,
8,たけ,,字,,「岳」に同じ。,0,,
,嶽,,,,,,,
9,かん(をける),,字,,「缶を蹴る」に同じ。,0,,
,罐(を蹴る),,,,,,,
10,いとな(む),,字,,「営む」に同じ。,0,,
,營(む),,,,,,,
11,さか(える),,字,,「栄える」に同じ。,0,,
,榮(える),,,,,,,
12,まも(る),,字,,「衛る」に同じ。,0,,
,衞(る),,,,,,,
13,ますます,,字,,「益益」に同じ。,0,,
,益益,,,,,,,
14,えき(にむかう),,字,,「駅に向かう」に同じ。,0,,
,驛(に向かう),,,,,,,
15,よろこ(ぶ),,字,,「悅ぶ」に同じ。,0,,
,悅(ぶ),,,,,,,
16,まる(い),,字,,「円い」に同じ。,0,,
,圓(い),,,,,,,
17,あいだ,3,字,,「間」に同じ。,0,,
,閒,,,,,,,
18,しお、えん,,字,,「塩」に同じ。,0,,
,鹽,,,,,,,
19,かん(する),,字,,「関する」に同じ。,0,,
,關(する),,,,,,,
20,おう(ずる),,字,,「応ずる」に同じ。,0,,
,應(ずる),,,,,,,
21,かえ(る),,字,,「帰る」に同じ。,0,,
,歸(る),,,,,,,
22,は(く),,字,,「欧く」に同じ。,0,,
,歐(く),,,,,,,
23,なぐ(る),,字,,「殴る」に同じ。,0,,
,毆(る),,,,,,,
24,ふる(い),,字,,「旧い」に同じ。,0,,
,舊(い),,,,,,,
25,かり(にも),,字,,「仮にも」に同じ。,0,,
,假(にも),,,,,,,
26,あたい(をもとめる),,字,,「価を求める」に同じ。,0,,
,價(を求める),,,,,,,
27,えが、か(く),,字,,「画く」に同じ。,0,,
,畫(く),,,,,,,
28,あ(う),,字,,「会う」に同じ。,0,,
,會(う),,,,,,,
29,まわ、めぐ(る),,字,,「回る」に同じ。,0,,
,囘(る),,,,,,,
30,ふところ,4,字,,「懐」に同じ。,0,,
,懷,,,,,,,
31,え(をみる),,字,,「絵を見る」に同じ。,0,,
,繪(を見る),,,,,,,
32,ひろ(げる),,字,,「拡げる」に同じ。,0,,
,擴(げる),,,,,,,
33,よ(る),,字,,「拠る」に同じ。,0,,
,據(る),,,,,,,
34,くく、まちまち,,字,,「区区」に同じ。,0,,
,區區,,,,,,,
35,へ(る),,字,,「経る」に同じ。,0,,
,經(る),,,,,,,
36,むら(がる),,字,,「群がる」に同じ。,0,,
,羣(がる),,,,,,,
37,くき、けい,,字,,「莖」に同じ。,0,,
,莖,,,,,,,
38,ひろ(げる),,字,,「拡げる」に同じ。,0,,
,廣(げる),,,,,,,
39,ごう、よびな,,字,,「号」に同じ。,0,,
,號,,,,,,,
40,くに、こく,,字,,「国」に同じ。,0,,
,國,,,,,,,
41,さ(える),,字,,「冴える」に同じ。,0,,
,冱(える),,,,,,,
42,かいこ,3,字,,「蚕」に同じ。,0,,
,蠶,,,,,,,
43,ことぶき,4,字,,「寿」に同じ。,0,,
