,レベル基準:1→麻雀を知っていればわかるレベル/2→詳しいルールを知っていればわかるレベル/3→中国麻雀等、深い知識を知っていればわかるレベル/4→3をクリアできる人でも難しい難易度,,,,,,,
1,(めんぜんちん)つも(ほー),2,字,,門前かつツモ和了の場合に成立する役。,1,,https://www.weblio.jp/content/%E9%96%80%E5%89%8D%E6%B8%85%E8%87%AA%E6%91%B8%E5%92%8C
,(門前清)自摸(和),,,,単に「ツモ」とも。,,,
2,ろん(ほー),2(〇ん),字,,他家の捨てた牌で上がること。,1,,https://www.weblio.jp/content/%E6%A0%84%E5%92%8C
,栄(和),,,,,,,
3,ほーら、あがり,,字,,上がること。,1,,https://www.weblio.jp/content/%E5%92%8C%E4%BA%86
,和了,,,,,,,
4,りーち,,字,,聴牌を宣言すること。また、その役。,1,,https://www.weblio.jp/content/%E7%AB%8B%E7%9B%B4
,立直,,,,卓上に1000点棒を出す。,,,
5,いっぱつ,,字,,立直後一巡以内で上がること。,1,,https://www.weblio.jp/content/%E4%B8%80%E7%99%BA
,一発,,,,,,,
6,たんやお,,字,,手配に么九牌を含んでいないときに,1,,https://kotobank.jp/word/%E6%96%AD%E4%B9%88-564789
,断么,,,,成立する役。,,,
7,ぴんふ,3(ぴ〇〇),字,,面子が全て順子で、雀頭が役牌でなく、,1,,https://www.weblio.jp/content/%E5%B9%B3%E5%92%8C
,平和,,,,待ちが両面待ちのときに成立する役。,,,
8,いーぺーこー,,字,,同種同数の順子が2組あるときに,1,,https://www.weblio.jp/content/%E4%B8%80%E7%9B%83%E5%8F%A3
,一盃口,,,,成立する役。,,,
9,きょうだ,,字,,牌を強く卓に叩きつけること。,1,,https://www.weblio.jp/content/%E5%BC%B7%E6%89%93
,強打,,,,また、危険牌を通すこと。,,,
10,(さんしょく)どうじゅん,,字,,萬子・索子・筒子それぞれの色で,1,,https://www.weblio.jp/content/%E4%B8%89%E8%89%B2%E5%90%8C%E9%A0%86
,(三色)同順,,,,同じ並びの順子を作ったときに成立する役。,,,
11,(さんしょく)どうこう、どうこー、どうこく,4(〇う〇〇),字,,萬子・索子・筒子それぞれの色で,1,,https://www.weblio.jp/content/%E4%B8%89%E8%89%B2%E5%90%8C%E5%88%BB
,(三色)同刻,,,,同じ並びの刻子を作ったときに成立する役。,,,
12,いっきつうかん,7,字,,同種の数牌で123・456・789と,1,,https://www.weblio.jp/content/%E4%B8%80%E6%B0%97%E9%80%9A%E8%B2%AB
,一気通貫,,,,揃えると成立する役。,,,
13,さんあんこう、さんあんこー,,字,,暗刻を3つ揃えた時に成立する役。,1,,https://www.weblio.jp/content/%E4%B8%89%E6%9A%97%E5%88%BB
,三暗刻,,,,,,,
14,ちーといつ,5,字,,対子を7組そろえることで成立する役。,1,,https://www.weblio.jp/content/%E4%B8%83%E5%AF%BE%E5%AD%90
,七対子,,,,,,,
15,といとい,4,字,,刻子を4つ作って上がると成立する役。,1,,https://www.weblio.jp/content/%E5%AF%BE%E3%80%85%E5%92%8C
,対々和,,,,トイトイは略称。,,,
16,ほんろーとう、ほんろうとう,,字,,4面子1雀頭が全て么九牌のときに,1,,https://www.weblio.jp/content/%E6%B7%B7%E8%80%81%E9%A0%AD
,混老頭,,,,成立する役。,,,
17,さんかんつ,,字,,槓子を3つ作ることで成立する役。,1,,https://www.weblio.jp/content/%E4%B8%89%E6%A7%93%E5%AD%90
,三槓子,,,,,,,
18,しょうさんげん,,字,,白發中の2つを刻子または槓子にして、,1,,https://www.weblio.jp/content/%E5%B0%8F%E4%B8%89%E5%85%83
,小三元,,,,残り1つを雀頭にした時に成立する役。,,,
19,こくしむそう,,字,,么九牌をすべて揃え、うち1つを雀頭に,1,,https://www.weblio.jp/content/%E5%9B%BD%E5%A3%AB%E7%84%A1%E5%8F%8C
,国士無双,,,,することで成立する役。,,,
20,りゃんぺーこー,,字,,一盃口が2つ出来ているときに,1,,https://www.weblio.jp/content/%E4%BA%8C%E7%9B%83%E5%8F%A3
,二盃口,,,,成立する役。,,,
21,ほんいつ,4,字,,萬子、索子、筒子のどれか一種と、,1,,https://www.weblio.jp/content/%E6%B7%B7%E4%B8%80%E8%89%B2
,混一色,,,,字牌のみで上がった時に成立する役。,,,
22,ちんいつ,4,字,,萬子、索子、筒子のどれか一種のみを,1,,https://www.weblio.jp/content/%E6%B8%85%E4%B8%80%E8%89%B2
,清一色,,,,使って上がった時に成立する役。,,,
23,すーあんこー、すーあんこう,6,字,,暗刻を4つ揃えた時に成立する役。,1,,https://www.weblio.jp/content/%E5%9B%9B%E6%9A%97%E5%88%BB
,四暗刻,,,,役満。,,,
24,だいさんげん,,字,,白發中のすべてを刻子または槓子にして,1,,https://www.weblio.jp/content/%E5%A4%A7%E4%B8%89%E5%85%83
,大三元,,,,和了した時に成立する役。,,,
25,つーいーそー,,字,,字牌のみで構成された和了形。,1,,https://www.weblio.jp/content/%E5%AD%97%E4%B8%80%E8%89%B2
,字一色,,,,,,,
26,しょうすーしー、しゃおすーしー,7(〇〇〇〇〇〇ー),字,,東南西北のうち3種を刻子・槓子にし、,1,,https://www.weblio.jp/content/%E5%B0%8F%E5%9B%9B%E5%96%9C
,小四喜,,,,残り1種を雀頭にした時に成立する役。,,,
27,だいすーしー、たーすーしー,6(〇〇〇〇〇ー),字,,東南西北のすべてを刻子・槓子に,1,,https://www.weblio.jp/content/%E5%A4%A7%E5%9B%9B%E5%96%9C
,大四喜,,,,した時に成立する役。,,,
28,りゅーいーそー、りゅういーそー,7(〇〇〇〇〇〇ー),字,,索子の2、3、4、6、8、發のみで,1,,https://www.weblio.jp/content/%E7%B7%91%E4%B8%80%E8%89%B2
,緑一色,,,,上がった時に成立する役。,,,
29,ちんろうとう、ちんらおとう,6,字,,手牌全体が老頭牌(一九牌)だけで,1,,https://www.weblio.jp/content/%E6%B8%85%E8%80%81%E9%A0%AD
,清老頭,,,,上がった時に成立する役。,,,
30,てんほう、てんほー,4,字,,親の配牌の時点で,1,,https://www.weblio.jp/content/%E5%A4%A9%E5%92%8C
,天和,,,,既に和了の形が完成している状態。,,,
31,ちーほう、ちーほー、ちいほう,4,字,,子が配牌時点で聴牌し、,1,,https://www.weblio.jp/content/%E5%9C%B0%E5%92%8C
,地和,,,,かつ第1ツモで和了することで成立する。,,,
32,ぽん,2(〇ん),字,,他家の捨て牌を使って,1,,https://www.weblio.jp/content/%E7%A2%B0
,碰,,,,刻子を作ること。,,,
33,ちー,2(〇ー),字,,他家の捨て牌を使って,1,,https://www.weblio.jp/content/%E5%90%83
,吃,,,,順子を作ること。,,,
34,はんちゃん,,字,,麻雀の試合単位。東南戦のことをいう。,1,,https://www.weblio.jp/content/%E5%8D%8A%E8%8D%98
,半荘,,,,全8局で構成される。,,,
35,とんぷーせん、とんぷうせん,,字,,東場の4局のこと。,1,,https://www.weblio.jp/content/%E6%9D%B1%E9%A2%A8%E6%88%A6
,東風戦,,,,,,,
36,なんば,3,字,,半荘の2周目のこと。,1,,https://www.weblio.jp/content/%E5%8D%97%E5%A0%B4
,南場,,,,,,,
37,しゃーにゅう、しゃにゅう,,字,,場が西場に入ること。,1,,https://www.weblio.jp/content/%E8%A5%BF%E5%85%A5
,西入,,,,,,,
38,ぺー(ぬき),,字,,北を抜きドラとして扱うこと。,1,,https://www.weblio.jp/content/%E5%8C%97%E6%8A%9C%E3%81%8D
,北(抜き),,,,また、それを抜く行為。,,,
39,かみちゃ,4,字,,自分から見て左隣に座る人。,1,,https://www.weblio.jp/content/%E4%B8%8A%E5%AE%B6
,上家,,,,,,,
40,といめん,4(と〇〇〇),字,,自分から見て正面に座る人。,1,,https://www.weblio.jp/content/%E5%AF%BE%E9%9D%A2
,対面,,,,,,,
41,しもちゃ,,字,,自分から見て右隣に座る人。,1,,https://www.weblio.jp/content/%E4%B8%8B%E5%AE%B6
,下家,,,,,,,
42,すーふーれんだ,7,字,,最初の打牌で全員が同じ風牌を,1,,https://www.weblio.jp/content/%E5%9B%9B%E9%A2%A8%E9%80%A3%E6%89%93
,四風連打,,,,捨てた場合に流局とする取り決め。,,,
43,はん、ふぁん、ほん,,字,,点数計算に用いる単位の一つ。,1,,https://www.weblio.jp/content/%E9%A3%9C
,飜,,,,,,,
44,ふ、ぶ,1,字,,点数計算に用いる単位の一つ。,1,,https://www.weblio.jp/content/%E7%AC%A6
,符,,,,,,,
45,まんがん,,字,,捨て牌がすべて么九牌のときに,1,,https://www.weblio.jp/content/%E6%B5%81%E3%81%97%E6%BA%80%E8%B2%AB
,(流し)満貫,,,,成立する役。,,,
46,(おやっ)ぱね,,字,,親の跳満のこと。,1,,
,(親っ)跳,,,,,,,
47,ばいまん,,字,,8翻から10翻までの上がり点のこと。,1,,https://www.weblio.jp/content/%E5%80%8D%E6%BA%80
,倍満,,,,,,,
48,やくまん,,字,,符数や飜数を超越した役のこと。,1,,https://www.weblio.jp/content/%E5%BD%B9%E6%BA%80
,役満,,,,また、その上がり点のこと。,,,
49,ちゃんかん,,字,,他家の加槓した牌で上がること。,1,,https://www.weblio.jp/content/%E6%A7%8D%E6%A7%93
,槍槓,,,,,,,
50,きゅうしゅきゅうはい,,字,,配牌で手牌に么九牌が9種類以上ある時,1,,https://www.weblio.jp/content/%E4%B9%9D%E7%A8%AE%E4%B9%9D%E7%89%8C
,九種九牌,,,,流局させるための宣言のこと。,,,
51,じゃま(ポン),,字,,他家を邪魔する目的でポンをすること。,1,,https://www.weblio.jp/content/%E5%89%AF%E5%BA%95
,邪魔(ポン),,,,,,,
52,うらめ,,字,,面子選択など、運の絡む状況で想定と,1,,https://www.weblio.jp/content/%E6%B4%97%E7%89%8C
,裏目,,,,逆の結果が出ること。「裏目る」とも。,,,
53,(あがり)ほうき,,字,,チョンボなどによって、,1,,
,(あがり)放棄,,,,あがりができない状態のこと。,,,
54,ちゅん(ビーム),,字,,「中」を捨てることで発生する,1,,https://www.weblio.jp/content/%E6%B2%B3%E5%BA%95%E6%92%88%E9%AD%9A
,中(ビーム),,,,謎のビーム。また、ローカル役。,,,
55,はく(バリア),,字,,中ビームに対して、白を捨てることで,1,,https://www.weblio.jp/content/%E6%B7%B7%E5%85%A8%E5%B8%AF%E4%B9%88%E4%B9%9D
,白(バリア),,,,満貫払いが無効となるルール。,,,
56,まんず,,字,,麻雀牌の種類の一つ。,1,,https://www.weblio.jp/content/%E8%90%AC%E5%AD%90
,萬子,,,,,,,
57,ちゃんちゃ,5(〇〇〇〇〇),字,,親のこと。,1,,https://www.weblio.jp/content/%E6%B8%85%E4%B8%80%E8%89%B2
,荘家,,,,,,,
58,りんしゃんかいほう、りんしゃんかいほー,,字,,カンしたときの補充牌であがること。,1,,https://www.weblio.jp/content/%E5%A3%81%E7%89%8C
,嶺上開花,,,,偶然役のひとつ。,,,
59,たーはい、たーぱい,,字,,手牌 が13枚より多くなっている状態。,1,,https://www.weblio.jp/content/%E4%B8%AD%E5%BC%B5%E7%89%8C
,多牌,,,,,,,
60,らおとうぱい、ろうとうはい,6,字,,一九牌の別名。,1,,https://www.weblio.jp/content/%E8%80%81%E9%A0%AD%E7%89%8C
,老頭牌,,,,,,,
61,といといほー,6,字,,刻子を4つ作って上がると成立する役。,2,,https://www.weblio.jp/content/%E5%AF%BE%E3%80%85%E5%92%8C
,対々和,,,,,,,
62,こーふぉんぱい,7(〇〇〇ぉ〇〇〇),字,,自分にとって役牌ではない風牌のこと。,2,,
,客風牌,,,,,,,
63,かんちゃんま(ち),,字,,中間の数牌が抜けた状態の待ち方。,2,,https://www.weblio.jp/content/%E5%B5%8C%E5%BC%B5%E5%BE%85%E3%81%A1
,嵌張待(ち),,,,,,,
64,しゃんぽんま(ち),,字,,対子が2組ある状態の待ち方。,2,,https://www.weblio.jp/content/%E5%8F%8C%E7%A2%B0%E5%BE%85%E3%81%A1
,双碰待(ち),,,,,,,
65,ほんいーそー,6,字,,萬子、索子、筒子のどれか一種と、,2,,https://www.weblio.jp/content/%E5%8D%81%E4%B8%89%E4%B8%8D%E5%A1%94
,混一色,,,,字牌のみで上がった時に成立する役。,,,
66,ちんいーそー,6,字,,萬子、索子、筒子のどれか一種のみを,2,,https://www.weblio.jp/content/%E4%B8%89%E9%80%A3%E5%88%BB
,清一色,,,,使って上がった時に成立する役。,,,
67,ぴーはい、びーはい,7(〇〇は〇),字,,卓上に積んである王牌を除く牌のこと。,2,,https://www.weblio.jp/content/%E5%A4%A7%E8%BB%8A%E8%BC%AA
,壁牌,,,,,,,
68,ちゅんちゃんぱい,,字,,数牌の2から8までを指す。,2,,https://www.weblio.jp/content/%E7%B4%85%E5%AD%94%E9%9B%80
,中張牌,,,,タンヤオ牌とも呼ばれる。,,,
69,しーぱい,4(〇ー〇〇),字,,牌を混ぜること。,2,,https://ja.wikipedia.org/wiki/%E9%BA%BB%E9%9B%80%E3%81%AE%E3%83%AD%E3%83%BC%E3%82%AB%E3%83%AB%E5%BD%B9
,洗牌,,,,牌を洗う行為は「せんぱい」と呼ぶ。,,,
70,はいていらおゆえ,8(〇〇〇〇〇〇〇え),字,,海底牌で上がることで成立する役。,2,,https://ja.wikipedia.org/wiki/%E9%BA%BB%E9%9B%80%E3%81%AE%E3%83%AD%E3%83%BC%E3%82%AB%E3%83%AB%E5%BD%B9
,海底撈月,,,,,,,
71,ほうていらおゆい,8(〇う〇〇〇〇〇〇),字,,河底牌で上がることで成立する役。,2,,https://ja.wikipedia.org/wiki/%E9%BA%BB%E9%9B%80%E3%81%AE%E3%83%AD%E3%83%BC%E3%82%AB%E3%83%AB%E5%BD%B9
,河底撈魚,,,,,,,
72,ちゅーぴんらおゆい,,字,,ローカル役。河底で打ち出された九筒で,2,,https://ja.wikipedia.org/wiki/%E9%BA%BB%E9%9B%80%E3%81%AE%E3%83%AD%E3%83%BC%E3%82%AB%E3%83%AB%E5%BD%B9
,九筒撈魚,,,,ロン和了したときに成立する役。,,,
73,だいちーしん,6(〇〇〇ー〇〇),字,,ローカル役。字一色七対子。,2,,https://www.weblio.jp/content/%E5%A4%A7%E4%B8%83%E6%98%9F
,大七星,,,,,,,
74,ぺんちゃんま(ち),,字,,12や89の形から3や7の牌で待つこと。,2,,https://www.weblio.jp/content/%E8%BE%BA%E5%BC%B5%E5%BE%85%E3%81%A1
,辺張待(ち),,,,,,,
75,ふーろ,,字,,他家の捨牌を鳴いて牌を揃えること。,2,,https://www.weblio.jp/content/%E5%89%AF%E9%9C%B2
,副露,,,,,,,
76,さんれんこー,,字,,ローカル役。連続する三刻子・槓子を,2,,https://www.weblio.jp/content/%E5%A4%9A%E7%89%8C
,三連刻,,,,含む和了形を作った時に成立する役。,,,
77,だいしゃりん,,字,,ローカル役。筒子の2から8を2枚ずつ,2,,https://www.weblio.jp/content/%E7%8E%8B%E7%89%8C
,大車輪,,,,使った和了形のこと。,,,
78,べにくじゃく,,字,,ローカル役。索子の1、5、7、9、中,2,,https://www.weblio.jp/content/%E7%94%9F%E7%89%8C
,紅孔雀,,,,のみで上がった時に成立する役。,,,
79,いーぴんもーゆえ、いーとんもーゆえ,8(〇〇〇〇ー〇〇),字,,ローカル役。海底で引いた和了牌が,2,,https://www.weblio.jp/content/%E5%85%83%E7%A6%84%E7%A9%8D%28%E3%81%BF
,一筒摸月,,,,一筒だった時に成立する役。,,,
80,りゃんぞーちゃんかん,,字,,ローカル役。二索の加槓に対して,2,,https://www.weblio.jp/content/%E7%87%95%E8%BF%94%E3%81%97
,二索槍槓,,,,搶槓で和了した時に成立する役。,,,
81,うーぴんかいほう、うーとんかいほー,,字,,ローカル役。嶺上開花で引いた和了牌が,2,,https://www.weblio.jp/content/%E9%BA%BB%E9%9B%80%E3%81%AE%E4%B8%8D%E6%AD%A3%E8%A1%8C%E7%82%BA
,五筒開花,,,,五筒だった時に成立する役。,,,
82,ふーてい,,字,,上がった時に得られる符点のこと。,2,,
,副底,,,,,,,
83,きょうたく,,字,,反則者が一定の点棒を供託する罰則。,2,,https://www.weblio.jp/content/%E4%BE%9B%E8%A8%97
,供託,,,,,,,
84,わんぱい,,字,,配牌時に残す14枚の牌。,2,,https://www.weblio.jp/content/%E9%8C%AF%E5%92%8C
,王牌,,,,,,,
