,,,,,,,,
1,あか,,字,,#e60033にあたる色。,1,,
,赤,,,,,,,
2,きみどり,,字,,#b8d200にあたる色。,1,,
,黄緑,,,,,,,
3,あおむらさき,,字,,#674598にあたる色。,1,,
,青紫,,,,,,,
4,さくらいろ,,字,,#fef4f4にあたる色。,1,,
,桜色,,,,,,,
5,あずきいろ,,字,,#96514dにあたる色。,1,,
,小豆色,,,,,,,
6,きんいろ、こんじき、きんしょく,,字,,#e6b422にあたる色。,1,,
,金色,,,,,,,
7,もえぎいろ,,字,,#006e54にあたる色。,2,,
,萌葱色,,,,,,,
8,からちゃ,,字,,#8d6449にあたる色。,2,,
,枯茶,,,,,,,
9,はじぞめ,,字,,#d9a62eにあたる色。,3,,
,櫨染,,,,,,,
10,なすこん,,字,,#824880にあたる色。,2,,
,茄子紺,,,,,,,
11,あめいろ,,字,,#deb068にあたる色。,2,,
,飴色,,,,,,,
12,ときねず,,字,,#e4d2d8にあたる色。,3,,
,鴇鼠,,,,,,,
13,らくだいろ,,字,,#bf794eにあたる色。,2,,
,駱駝色,,,,,,,
14,あいいろ,,字,,#165e83にあたる色。,1,,
,藍色,,,,,,,
15,ぎんいろ、ぎんしょく、しろがねいろ,,字,,#c0c0c0にあたる色。,1,,
,銀色,,,,,,,
16,ひすいいろ,,字,,#38b48bにあたる色。,2,,
,翡翠色,,,,,,,
17,えびぞめ,,字,,#7a4171にあたる色。,4,,
,蒲葡,,,,,,,
18,きくじん,,字,,#6e7955にあたる色。,3,,
,麹塵,,,,,,,
19,せいへき,,字,,#478384にあたる色。,2,,
,青碧,,,,,,,
20,ししいろ,,字,,#efab93にあたる色。,3,,
,宍色,,,,,,,
21,いっこんぞめ、いっきんぞめ,,字,,#f5b199にあたる色。,2,,
,一斤染,,,,,,,
22,からしいろ,,字,,#d0af4cにあたる色。,2,,
,芥子色,,,,,,,
23,きつるばみ,,字,,#b68d4cにあたる色。,4,,
,黄橡,,,,,,,
24,おめしちゃ,,字,,#43676bにあたる色。,2,,
,御召茶,,,,,,,
25,こうばいいろ,,字,,#f2a0a1にあたる色。,2,,
,紅梅色,,,,,,,
26,みなとねずみ,,字,,#80989bにあたる色。,3,,
,湊鼠,,,,,,,
27,こうらいなんど,,字,,#2c4f54にあたる色。,2,,
,高麗納戸,,,,,,,
28,ももしおちゃ,,字,,#1f3134にあたる色。,3,,
,百入茶,,,,,,,
29,みるちゃ,,字,,#5a544bにあたる色。,3,,
,海松茶,,,,,,,
30,じんざもみ,,字,,#ee827cにあたる色。,4,,
,甚三紅,,,,,,,
31,ももいろ,,字,,#f09199にあたる色。,1,,
,桃色,,,,,,,
32,しかんちゃ,,字,,#ad7e4eにあたる色。,3,,
,芝翫茶,,,,,,,
33,こがれこう,,字,,#ae7c58にあたる色。,3,,
,焦香,,,,,,,
34,さびてつおなんど,,字,,#485859にあたる色。,3,,
,錆鉄御納戸,,,,,,,
35,しろ,2(●ろ),字,,#ffffffにあたる色。,1,,
,白,,,,,,,
36,くろ,2(●ろ),字,,#000000にあたる色。,1,,
,黒,,,,,,,
37,なでしこいろ,,字,,#eebbcbにあたる色。,2,,
,撫子色,,,,,,,
38,ますはないろ,,字,,#5b7e91にあたる色。,3,,
,舛花色,,,,,,,
39,のしめはないろ,,字,,#426579にあたる色。,3,,
,熨斗目花色,,,,,,,
